parlamentarier_anzeige_name,parlamentarier_id,parlamentarier_nachname,parlamentarier_vorname,parlamentarier_zweiter_vorname,parlamentarier_rat,parlamentarier_kanton,parlamentarier_partei,parlamentarier_fraktion,parlamentarier_kommissionen,parlamentarier_im_rat_seit,parlamentarier_im_rat_bis,parlamentarier_geschlecht,parlamentarier_geburtstag,parlamentarier_parlament_biografie_id,parlamentarier_parlament_number,parlamentarier_sprache,parlamentarier_arbeitssprache,interessenbindung_beschreibung,interessenbindung_von,interessenbindung_bis,interessenbindung_art,interessenbindung_funktion_im_gremium,interessenbindung_deklarationstyp,interessenbindung_status,interessenbindung_hauptberuflich,interessenbindung_behoerden_vertreter,interessenbindung_wirksamkeit,organisation_id,verguetung,verguetung_jahr,verguetung_beschreibung,organisation_name_de,organisation_uid,organisation_name_fr,organisation_ort,organisation_rechtsform,organisation_rechtsform_handelsregister,organisation_rechtsform_zefix,organisation_typ,organisation_vernehmlassung,gruppe_spalte,interessengruppe,Hauptcode,Hauptkategorie,Subcode,Subkategorie
"Flach, Beat",83,Flach,Beat,NA,NR,AG,GLP,GL,"RK-N, SiK-N",2011-12-05T00:00:00Z,NA,M,1965-01-21T00:00:00Z,4059,2765,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,tief,6047,0,2025,Ehrenamtlich,AEE SUISSE Aargau,CHE-252.492.462,NA,Aarau,Verein,0109,NA,"MitgliedsOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Crevoisier Crelier, Mathilde",438,Crevoisier Crelier,Mathilde,NA,SR,JU,SP,S,"Bü-SR, Del F-V, RedK-V, RK-SR, UREK-SR, WBK-SR",2022-12-15T00:00:00Z,NA,F,1980-01-05T00:00:00Z,4332,3227,fr,fr,NA,2024-05-05T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,9899,0,2025,Ehrenamtlich,AEE Suisse Vaud,NA,NA,NA,Verein,NA,NA,"DachOrganisation,MitgliedsOrganisation",nie,organisation_interessengruppe1,Erneuerbare Energien,7,Energieerzeugung & -infrastruktur,7.2,Erneuerbare Energie
"Jauslin, Matthias Samuel",314,Jauslin,Matthias Samuel,NA,NR,AG,GLP,GL,"Del A-V, GPK-N, KVF-NR",2015-11-30T00:00:00Z,NA,M,1962-04-20T00:00:00Z,4208,3109,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,hoch,2248,12000,2025,NA,Aero-Club der Schweiz,CHE-105.802.496,NA,Luzern,Verein,0109,6,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Luftfahrt,6,Verkehrssektor und Mobilität,6.4,Luftverkehr & Infrastruktur
"Amaudruz, Céline",44,Amaudruz,Céline,Marie-Claire,NR,GE,SVP,V,"ERD, SGK-NR, WAK-NR",2011-12-05T00:00:00Z,NA,F,1979-03-15T00:00:00Z,4090,2796,fr,fr,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,J,mittel,2602,1,2025,Bezahlt,Aéroport International de Genève,CHE-108.913.293,Genève Aéroport,Cointrin,Oeffentlich-rechtlich,0117,8,EinzelOrganisation,punktuell,organisation_interessengruppe1,Luftfahrt,6,Verkehrssektor und Mobilität,6.4,Luftverkehr & Infrastruktur
"Hurter, Thomas",120,Hurter,Thomas,NA,NR,SH,SVP,V,"IPU, KVF-NR, SiK-NR",2007-12-03T00:00:00Z,NA,M,1963-11-01T00:00:00Z,3890,2693,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,hoch,4155,1,2025,NA,Aerosuisse,NA,NA,Bern,Verein,NA,NA,"EinzelOrganisation,DachOrganisation,dezidierteLobby",punktuell,organisation_interessengruppe1,Luftfahrt,6,Verkehrssektor und Mobilität,6.4,Luftverkehr & Infrastruktur
"Hess, Erich",287,Hess,Erich,Johann,NR,BE,SVP,V,"GPK-N, SiK-NR",2015-11-30T00:00:00Z,NA,M,1981-03-25T00:00:00Z,4163,3078,de,de,Lastwagenführer,NA,NA,taetig,NA,deklarationspflichtig,nicht-deklariert,1,NA,tief,7880,1,2025,Bezahlt,Affolter Transporte AG,CHE-107.216.694,NA,Gümligen,AG,0106,3,EinzelOrganisation,nie,organisation_interessengruppe1,Logistik/Transport,6,Verkehrssektor und Mobilität,6.6,Verkehr allgemein
"Pfister, Gerhard",166,Pfister,Gerhard,NA,NR,ZG,M,M-E,"APK-NR, Del D-V, IK-NR, SPK-NR",2003-12-01T00:00:00Z,NA,M,1962-10-01T00:00:00Z,1109,2623,de,de,NA,2002-10-12T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,3907,0,2025,Ehrenamtlich,Ägerisee Schifffahrt AG,CHE-109.700.245,NA,Oberägeri,AG,0106,3,EinzelOrganisation,nie,organisation_interessengruppe1,Schifffahrt,6,Verkehrssektor und Mobilität,6.6,Verkehr allgemein
"Müller, Leo",149,Müller,Leo,NA,NR,LU,M,M-E,"GK-V, WAK-NR",2011-12-05T00:00:00Z,NA,M,1958-07-04T00:00:00Z,4097,3012,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,tief,6434,1,2025,NA,Agrimo AG,CHE-102.548.166,NA,Wängi,AG,0106,3,EinzelOrganisation,nie,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,5,Landwirtschaft und Ernährungssysteme,5.1,Konventionelle Landwirtschaft
"Hegglin, Peter",317,Hegglin,Peter,NA,SR,ZG,M,M-E,"FinDel, FK-S, SGK-S, WAK-S",2015-11-30T00:00:00Z,NA,M,1960-12-25T00:00:00Z,4153,3053,de,de,NA,2016-12-07T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,hoch,5761,1,2025,NA,agriss,CHE-110.442.156,NA,Schöftland,Stiftung,0110,7,EinzelOrganisation,punktuell,organisation_interessengruppe1,Landwirtschaft allgemein,5,Landwirtschaft und Ernährungssysteme,5.5,Landwirtschaftsnahe Forschung
"de Montmollin, Simone",390,de Montmollin,Simone,NA,NR,GE,FDP,RL,"Del F-V, UREK-NR, WBK-NR",2019-10-20T00:00:00Z,NA,F,1968-07-20T00:00:00Z,4256,3148,fr,fr,Organisationskomitee und wissenschaftliches Komitee,NA,NA,beirat,mitglied,deklarationspflichtig,deklariert,0,NA,tief,6899,0,2025,Ehrenamtlich,Agrovina,CHE-113.572.424,NA,Martigny,Verein,0109,NA,"MitgliedsOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,"Weinbau, Bier und Spirituosen",5,Landwirtschaft und Ernährungssysteme,5.5,Landwirtschaftsnahe Forschung
"Bäumle, Martin",51,Bäumle,Martin,Hans,NR,ZH,GLP,GL,UREK-NR,2003-12-01T00:00:00Z,NA,M,1964-06-03T00:00:00Z,1138,2585,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,tief,7702,0,2025,Ehrenamtlich,Airborn Fuels Switzerland AG,CHE-315.496.870,NA,Zürich,AG,0106,3,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Luftfahrt,6,Verkehrssektor und Mobilität,6.5,Elektromobilität & Innovation
"Bäumle, Martin",51,Bäumle,Martin,Hans,NR,ZH,GLP,GL,UREK-NR,2003-12-01T00:00:00Z,NA,M,1964-06-03T00:00:00Z,1138,2585,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,tief,7702,0,2025,Ehrenamtlich,Airborn Fuels Switzerland AG,CHE-315.496.870,NA,Zürich,AG,0106,3,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe2,Cleantech,6,Verkehrssektor und Mobilität,6.5,Elektromobilität & Innovation
"Bäumle, Martin",51,Bäumle,Martin,Hans,NR,ZH,GLP,GL,UREK-NR,2003-12-01T00:00:00Z,NA,M,1964-06-03T00:00:00Z,1138,2585,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,tief,7702,0,2025,Ehrenamtlich,Airborn Fuels Switzerland AG,CHE-315.496.870,NA,Zürich,AG,0106,3,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe2,Cleantech,6,Verkehrssektor und Mobilität,6.5,Elektromobilität & Innovation
"Strupler, Manuel",387,Strupler,Manuel,NA,NR,TG,SVP,V,UREK-NR,2019-10-20T00:00:00Z,NA,M,1980-04-12T00:00:00Z,4293,3185,de,de,NA,2022-06-27T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,nicht-deklariert,0,N,tief,2054,NA,NA,NA,Aktiengesellschaft Grünes Zentrum Weinfelden,CHE-102.751.804,NA,Weinfelden,AG,0106,3,EinzelOrganisation,nie,organisation_interessengruppe1,Immobilien/Hauseigentümer:innen,5,Landwirtschaft und Ernährungssysteme,5.5,Landwirtschaftsnahe Forschung
"Strupler, Manuel",387,Strupler,Manuel,NA,NR,TG,SVP,V,UREK-NR,2019-10-20T00:00:00Z,NA,M,1980-04-12T00:00:00Z,4293,3185,de,de,NA,2022-06-27T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,nicht-deklariert,0,N,tief,2054,NA,NA,NA,Aktiengesellschaft Grünes Zentrum Weinfelden,CHE-102.751.804,NA,Weinfelden,AG,0106,3,EinzelOrganisation,nie,organisation_interessengruppe2,Landwirtschaft allgemein,5,Landwirtschaft und Ernährungssysteme,5.5,Landwirtschaftsnahe Forschung
"Weichelt, Manuela",386,Weichelt,Manuela,NA,NR,ZG,ALG,G,"GPK-N, IK-NR, SGK-NR",2019-10-20T00:00:00Z,NA,F,1967-07-21T00:00:00Z,4298,3190,de,de,NA,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,8995,0,2025,Ehrenamtlich,Allianz Ernährung und Gesundheit,NA,Alliance Alimentation et Santé,Bern,Verein,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Staatspolitik allgemein,5,Landwirtschaft und Ernährungssysteme,5.3,Ernährungspolitik
"Reimann, Lukas",172,Reimann,Lukas,Andreas,NR,SG,SVP,V,"APK-NR, OSZE",2007-12-03T00:00:00Z,NA,M,1982-09-18T00:00:00Z,3901,2704,de,de,Co-Präsident,NA,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,NA,tief,6591,0,2025,Ehrenamtlich,Allianz für eine CO2-neutrale Schweiz,NA,NA,Wil,Verein,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Klima,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Wandfluh, Ernst",453,Wandfluh,Ernst,NA,NR,BE,SVP,V,WBK-NR,2023-12-04T00:00:00Z,NA,M,1976-11-25T00:00:00Z,10834,10834,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,tief,9200,500,2025,Bezahlt,Alpgenossenschaft Ueschinen,CHE-112.078.009,NA,Kandersteg,Genossenschaft,0355,NA,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe2,Landwirtschaft allgemein,12,Tourismus,12.3,Nachhaltiger Tourismus
"Kaufmann, Pius",478,Kaufmann,Pius,NA,NR,LU,M,M-E,FK-NR,2023-12-04T00:00:00Z,NA,M,1971-01-24T00:00:00Z,10814,10814,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,tief,10429,1,2025,Bezahlt,Andermatt Biocontrol Suisse AG,CHE-188.878.752,NA,Grossdietwil,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",nie,organisation_interessengruppe1,Chemie/Biotech,2,Wirtschaftliche Umweltinteressen (Green Economy),NA,NA
"Gafner, Andreas",376,Gafner,Andreas,NA,NR,BE,EDU,V,"FK-NR, WBK-NR",2019-12-01T00:00:00Z,NA,M,1971-03-31T00:00:00Z,4263,3155,de,de,NA,2024-06-06T00:00:00Z,NA,vorstand,mitglied,deklarationspflichtig,nicht-deklariert,0,N,mittel,1925,NA,NA,NA,Aniterra AG,CHE-105.189.879,NA,Lyssach,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",punktuell,organisation_interessengruppe1,Landwirtschaft allgemein,5,Landwirtschaft und Ernährungssysteme,5.8,Pflanzenbau
"Rechsteiner, Thomas",414,Rechsteiner,Thomas,NA,NR,AI,M,M-E,"Del FL-V, SGK-NR",2019-12-02T00:00:00Z,NA,M,1971-11-14T00:00:00Z,4282,3174,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,NA,mittel,7037,12000,2025,NA,Appenzeller Bahnen AG,CHE-105.928.358,NA,Herisau,AG,0106,3,"EinzelOrganisation,LeistungsErbringer",punktuell,organisation_interessengruppe1,Öffentlicher Verkehr,6,Verkehrssektor und Mobilität,6.2,Öffentlicher Verkehr / Schiene
"Alijaj, Islam",443,Alijaj,Islam,NA,NR,ZH,SP,S,WBK-NR,2023-12-04T00:00:00Z,NA,M,1986-06-18T00:00:00Z,10812,10812,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,deklariert,0,N,mittel,191,0,2025,Ehrenamtlich,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Baumann, Kilian",358,Baumann,Kilian,NA,NR,BE,Grüne,G,WBK-NR,2019-12-01T00:00:00Z,NA,M,1980-12-14T00:00:00Z,4247,3139,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,mittel,191,0,2025,Ehrenamtlich,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Candan, Hasan",449,Candan,Hasan,NA,NR,LU,SP,S,UREK-NR,2023-12-04T00:00:00Z,NA,M,1985-02-24T00:00:00Z,10828,10828,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,N,mittel,191,NA,NA,NA,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Friedl, Claudia",89,Friedl,Claudia,NA,NR,SG,SP,S,"APK-NR, Del A-V, Del FL-V, OSZE",2013-03-04T00:00:00Z,NA,F,1960-07-19T00:00:00Z,4131,3035,de,de,Mitglied des Patronatkomitees,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,N,mittel,191,0,2025,Ehrenamtlich,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Gugger, Niklaus-Samuel",327,Gugger,Niklaus-Samuel,NA,NR,ZH,EVP,M-E,"APK-NR, ERD",2017-11-27T00:00:00Z,NA,M,1970-05-01T00:00:00Z,4214,3115,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,mittel,191,0,2025,Ehrenamtlich,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Klopfenstein Broggini, Delphine",403,Klopfenstein Broggini,Delphine,NA,NR,GE,Grüne,G,"Del F-V, KVF-NR, SPK-NR",2019-12-02T00:00:00Z,NA,F,1976-06-09T00:00:00Z,4272,3164,fr,fr,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,mittel,191,0,2025,Ehrenamtlich,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Mahaim, Raphaël",433,Mahaim,Raphaël,NA,NR,VD,Grüne,G,"GK-V, RK-NR",2022-02-28T00:00:00Z,NA,M,1983-12-31T00:00:00Z,4327,3222,fr,fr,Mitglied Patronatskomitee,2024-06-18T00:00:00Z,NA,beirat,mitglied,deklarationspflichtig,deklariert,0,N,mittel,191,NA,NA,NA,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Schläfli, Nina",487,Schläfli,Nina,NA,NR,TG,SP,S,"RedK-V, SPK-NR",2023-12-04T00:00:00Z,NA,F,1990-01-01T00:00:00Z,10826,10826,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,N,mittel,191,NA,NA,NA,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Zopfi, Mathias",380,Zopfi,Mathias,NA,SR,GL,Grüne,G,"FK-SR, KVF-SR, NATO-V, SiK-SR, SPK-SR",2019-10-20T00:00:00Z,NA,M,1983-12-14T00:00:00Z,4244,3199,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,mittel,191,0,2025,Ehrenamtlich,Aqua Viva,CHE-100.157.961,NA,Schaffhausen,Verein,0109,NA,"EinzelOrganisation,LeistungsErbringer,dezidierteLobby",punktuell,organisation_interessengruppe1,Wasser,1,Ökologische Schutzinteressen,1.3,Gewässer- & Flussschutz
"Hübscher, Martin",451,Hübscher,Martin,NA,NR,ZH,SVP,V,WAK-NR,2023-12-04T00:00:00Z,NA,M,1969-03-15T00:00:00Z,10831,10831,de,de,NA,NA,NA,vorstand,mitglied,deklarationspflichtig,deklariert,0,N,tief,6518,0,2025,Ehrenamtlich,Arbeitsgruppe Kernkraftwerkbetreiber Ausschuss nukleare Entsorgung,NA,NA,Wettingen,Informelle Gruppe,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Atomenergie,7,Energieerzeugung & -infrastruktur,7.1,Fossile / konventionelle Energie
"Müller-Altermatt, Stefan",153,Müller-Altermatt,Stefan,NA,NR,SO,M,M-E,"BeK-V, GPDel-V, GPK-N, UREK-NR",2011-12-05T00:00:00Z,NA,M,1976-06-17T00:00:00Z,4063,2771,de,de,NA,NA,NA,beirat,mitglied,deklarationspflichtig,deklariert,0,NA,tief,6518,1200,2025,NA,Arbeitsgruppe Kernkraftwerkbetreiber Ausschuss nukleare Entsorgung,NA,NA,Wettingen,Informelle Gruppe,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Atomenergie,7,Energieerzeugung & -infrastruktur,7.1,Fossile / konventionelle Energie
"Stark, Jakob",384,Stark,Jakob,NA,SR,TG,SVP,V,"BeK-V, FK-SR, KVF-SR, UREK-SR, WBK-SR",2019-10-20T00:00:00Z,NA,M,1958-09-08T00:00:00Z,4241,3196,de,de,NA,NA,NA,beirat,mitglied,deklarationspflichtig,deklariert,0,NA,tief,6518,0,2025,Ehrenamtlich,Arbeitsgruppe Kernkraftwerkbetreiber Ausschuss nukleare Entsorgung,NA,NA,Wettingen,Informelle Gruppe,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Atomenergie,7,Energieerzeugung & -infrastruktur,7.1,Fossile / konventionelle Energie
